Nom de l'entreprise,Domaine de compétences,Filière,Stages Proposés,Année de création,Nombre d'employés,Chiffre d'Affaires
Padok,"DevOps, Cloud, Automatisation",Info,Création d'infrastructures from Scratch sur Cloud ou Cloud Hybride - Migrations Cloud et Kubernetes - Mise en place et Automatisation de la chaîne de CI/CD - Accompagnement des équipes de devs dans une démarche DevOps,2018,40,3 M€ (2022)
Pôle Emploi,Informatique,Info,,2008,1600,
Safran Electronics & Defense,"Aéronautique, défense, spatial",Info,,1925,10 000,19 Milliards € (2022)
Schlumberger,Industrie énergétique,Info,,1926,96000,26 M€ (2022)
Smile,"ESN, open-source, Energie, Santé, immobilier, gouvernement, défense",Info,"Développement (Java, Php, Javascript, Python,...) en infrastructure, Devops, Cloud, Embarqué",1991,2000,160 M€
Société pour l'Informatique Industrielle,Conseil en Technologies et des Services du Numérique,Info,Bientôt transmis,1979,18 000,1 Milliard € (2022)
Solutec,"Télécommunication et médias, Industrie, Transport, Services, Grande distribution, Energies, Banques et Assurances, Santé",Info,"Développement Applicatif (Web), Développement Applicatif (Mobile), DevOps / Infra, Gestion de projet, Innovation",1991,1500,91 M€
Sopra Steria,"Conseil, services numériques, édition de logiciels",Info,"Dev Java, Data Analyst, Business Analyst",1968,50 000,"4,4 Milliards € (2019)"
Stilog Ist,"Aéronautique, Défense, Mécanique, Energie, Informatique",Info,"Stage ""Perfos Ansys Workbench"", Stage « Refonte solveur de post traitement de résultats Eléments finis », Stage "" 3D OpenGL""",1991,152,14 M€
SQLI,"Luxe, Energie, Viticole, Banque, Assurances",Info,"Conception et développement d’applications en utilisant les technologies autour de l’écosystème JAVA (Maven, Spring, API Rest…)",1990,2000,226 M€
Sys1,Entreprise de Services du Numérique,Info,"Stagiaire Ingénieur Système et Réseau H/F, Stagiaire Administrateur Système et Réseau H/F",1994,90,12 M€
Talan,Fonds de Placement et Entités Financières Similaires,Info,"Stage Consultant Technique Salesforce - H/F, Engineering & Development IT",2009,172,22 M€
TDM,"Aéronautique, Equipements vidéo embarqués, Anti-missile",Info,"Eléve ingénieur en VHDL, Eléve ingénieur en électronique hardware et architecture électronique, Eléve ingénieur en logiciel embarqué c sous Linux",1994,30,"3,5 M€"
TechnicAtome,"Nucléaire, armée, hydraulique, neutronique, architecture système",Info,Stages proposés dans l'ingénierie nucléaire,1972,2 000,500 M € (2022)
Technology and Strategy Group,"Conseil en Ingénierie, Automobile, Défense, Biomédical, Banquaire, Luxe",Info,,2008,3500,180 M€ (2019)
Tehtris,Cybersécurité,Info,,2010,260,"3,5 M€ (2019)"
Wavestone,"Digital, systèmes d'information en cybersécurité, conseil, business development",Info,,1990,4 000,532 M € (2022)
XRays Trading,Ingénierie en Finance de Marché,Info,Ingénieur Dev / Ingénieur Prod,2004,40,"4,4 M € (2022)"
4SH,"Informatique, Développement, UX",RSI,"Développeur·se (Kotlin, Java, MongoDB, Kubernetes, ...), Product Owner, Ingénieur·e Infrastructure Cloud",2007,92,"7,6 M€"
Accenture,"Conseil en Stratégies, conseil en management, conseil en technologies",RSI,,1989,700 000,50 Milliards $ (2021)
AFD Technologies,Conseil en Transformation Digitale,RSI,"Dev Java ou React, Chef de Projet",1998,2 000,51 M€ (2022)
